"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 13 15:14:22 GMT 2022","Tue Sep 13 15:14:26 GMT 2022","3582","","Funcionalidade: Adicionar formação acadêmica","","","","Deve adicionar uma formação acadêmica com sucesso - marcando data atual",""
"passed","Tue Sep 13 15:14:17 GMT 2022","Tue Sep 13 15:14:22 GMT 2022","4839","","Funcionalidade: Adicionar formação acadêmica","","","","Deve adicionar uma formação acadêmica com sucesso",""
"passed","Tue Sep 13 15:14:48 GMT 2022","Tue Sep 13 15:14:48 GMT 2022","155","","","","","","[POST] - Teste de autenticação com usuário inválido",""
"passed","Tue Sep 13 15:14:48 GMT 2022","Tue Sep 13 15:14:48 GMT 2022","187","","","","","","[POST] - Teste de autenticação",""
"passed","Tue Sep 13 15:14:35 GMT 2022","Tue Sep 13 15:14:35 GMT 2022","210","","Testes de alteração","","","","[PUT] - Curtir uma postagem",""
"passed","Tue Sep 13 15:14:34 GMT 2022","Tue Sep 13 15:14:34 GMT 2022","290","","Testes de consulta","","","","[GET] - Consultar uma postagem por ID",""
"passed","Tue Sep 13 15:14:33 GMT 2022","Tue Sep 13 15:14:34 GMT 2022","713","","Testes de consulta","","","","[GET] - Consultar uma postagem",""
"failed","Tue Sep 13 15:14:06 GMT 2022","Tue Sep 13 15:14:06 GMT 2022","227","Validar API SEO","Dado que executo a consulta por sku","","","","Então a consulta será executada com sucesso",""
"passed","Tue Sep 13 15:14:33 GMT 2022","Tue Sep 13 15:14:33 GMT 2022","192","","Testes de criação de postagens","","","","[POST] - Criar uma postagem",""
"failed","Tue Sep 13 15:13:35 GMT 2022","Tue Sep 13 15:14:06 GMT 2022","30275","Validar API SEO","Dado que executo a consulta por sku","","","","Quando executo um GET em SEO, com o SKU",""
"passed","Tue Sep 13 15:14:34 GMT 2022","Tue Sep 13 15:14:35 GMT 2022","214","","Testes de exclusão","","","","[DELETE] - Excluir uma postagem",""
"passed","Tue Sep 13 15:14:41 GMT 2022","Tue Sep 13 15:14:42 GMT 2022","798","","Funcionalidade: Adicionar experiência","","","","Acessar Experiência",""
